id,dimension,field,option_1,score_1,next_1,option_2,score_2,next_2,option_3,score_3,next_3,option_4,score_4,next_4,terminal
101,CRL,Customer,"We have repeatable commercial sales to several customers, with a large and fast-growing active-user base, and a staffed sales/CRM process running.",9,201,We’ve made multiple sales at/near target price and have started implementing a sales & user-acquisition process,8,201,We’ve made our first/test sales of a near-complete technology or functional prototype,7,201,We haven't made sales yet,,102,
102,CRL,Customer,Your target customers have tested a prototype that confirmed the value and benefits,6,201,"You established relationships with some target customers/users, they provide regular input and are ready for a trial",5,201,"You’ve conducted multiple interviews with target customers/users (5–10+ in B2B, 10–20+ in B2C) confirming the problem/need and its importance",4,201,"You’ve conducted fewer than 5 (B2B) or 10 (B2C) interviews with target customers/users, or the importance of the problem/need is unconfirmed",,103,
103,CRL,Customer,"You’ve made first contacts with potential target customers/users or market/industry experts, and you have a clear idea of the problems/needs they encounter",3,201,You have basic familiarity with your target market and the problems/needs customers/users encounter.,2,201,You think their is an opportunity in a market you barely know,1,201,,,201,
201,TRL,Technology,Complete technology is scalable and proven to work in actual operations by several users over time; improvement and optimization of the technology and production are ongoing,9,301,The technology is used by end-users in their day-to-day operations and meets all performance requirements/specifications; it can be produced at a reasonable cost,8,301,A prototype near or at the complete technology has been shown to work in an operational environment (one that meets all operational requirements/specifications where end-users will use the technology),7,301,"Your technology hasn’t been tested in, or does not work in, an operational environment (one that meets all operational requirements/specifications where end-users will use the technology)",,202,
202,TRL,Technology,A functional form of the technology has been shown to work in a relevant environment (lab or other controlled setting that simulates the most important and most stressing aspects of the operational environment),6,301,Basic components are integrated and tested in a relevant environment (lab or controlled setting that simulates the most important and most stressing aspects of the operational environment) and provide evidence indicating the technology will work,5,301,"Basic components are integrated and shown to work together and produce desired results in the laboratory environment (where the technology is typically developed, often not the same environment where it will be used)",4,301,Some parameters/features/functions may have been tested but have not yet been integrated and tested as a whole,,203,
203,TRL,Technology,Tests in the laboratory environment (analytical and/or experimental) of important parameters/features/functions show that the technology concept could work and be feasible,3,301,"A potential technology concept is defined and described, but there is no proof or detailed analysis that the technology will work",2,301,Research results with potential benefits or useful applications have been identified,1,301,,,301,
301,IPRL,Intellectual property,You have an IPR (Intellectual Property Rights) strategy fully implemented in several countries that supports and creates value for the business,9,401,Key IPR (Intellectual Property Rights) is granted in the first country/region with relevant scope and is proactively used to support and protect the business,8,401,"You have a clear understanding of dependencies on and restrictions by other IPR (Intellectual Property Rights), and your own IPR application/registration has entered the national/regional phase",7,401,No IPR (Intellectual Property Rights) application/registration has entered the national/regional phase yet,,302,
302,IPRL,Intellectual property,You received a positive response on applications from authorities and analyzed it; or you received an adverse response but analyzed it with a professional and prospects remain good,6,401,The first complete formal application/registration of key IPR (Intellectual Property Rights) has been filed in cooperation with a professional,5,401,Possibilities for protection of key IPR (Intellectual Property Rights) have been confirmed through searches/analysis by a professional,4,401,Your key IPR (Intellectual Property Rights) possibilities have not been confirmed by a professional,,303,
303,IPRL,Intellectual property,You have a sufficiently detailed description of possible IPR (Intellectual Property Rights) to evaluate which forms are key/most important and could/should be protected,3,401,"You have mapped different forms of IPR (Intellectual Property Rights) that exist or could arise during development, and inventors/creators are clarified",2,401,"There is limited knowledge or a lack of clarity regarding relevant legal aspects (ownership, use rights, etc.)",1,401,,,401,
401,FRL,Funding,"You have a long-term funding strategy in place covering the scale-up of operations, and you have identified and established interest from suitable next-step funding sources for a longer runway than the 12+ months you already secured",9,501,"You secured funding for at least a 12-month runway (funding received) or have predictable recurring revenue, and your financial monitoring and accounting system enables control of financial status and forecasting of funding needs",8,501,"You have concrete discussions (term-sheet level) with one or several funding sources that are clearly interested, and your basic accounting in place shows financial status",7,501,You don’t have concrete discussions with investors yet and/or no accounting in place to show financial status,,402,
