dimension,level,title,body
CRL,9,Customer Readiness Level 9,"The product/service is widely deployed with repeatable and scalable sales to several customers, often also through partners. There is a large and strongly growing base of active users (strong traction), and the company is heavily focused on business development, customer acquisition, sales growth and building user/customer demand."
CRL,8,Customer Readiness Level 8,"A market-ready product/service is sold to customers at or near the target market price, with a substantial number of active users (initial traction). A formal sales/user acquisition process exists with dedicated people and support systems (e.g. CRM), and agreements with initial partners are in place to reach customers."
CRL,7,Customer Readiness Level 7,"Customer agreements exist for first sales or test sales of early versions, or customers/users are engaged in product/service qualification or extended testing, and there is a small but active user base of these early versions. Discussions with partners to help reach customers/users have been initiated where relevant."
CRL,6,Customer Readiness Level 6,"Customer/user testing has confirmed the value and benefits of the product/service, leading to an updated sales pitch and value proposition based on their feedback. A first sales/user acquisition process is defined, structured sales activities have started, and potential partners or key stakeholders to reach customers/users have been identified."
CRL,5,Customer Readiness Level 5,"Customers/users have clearly expressed interest and confirmed that the product/service can solve their problems/needs, indicating an initial problem–solution fit. Relationships with potential target customers/users provide input, target customer segments have been prioritised, and an initial sales pitch and value proposition tailored to these segments is defined."
CRL,4,Customer Readiness Level 4,"The problem/need and its importance are confirmed by multiple customers or users (typically 5–10 in B2B, 2–5 leading customers in concentrated B2B markets, or around 10–20 in B2C). Basic customer segmentation and profiles exist, the user, paying customer and decision maker are identified, and a product/service hypothesis is positioned clearly against alternatives based on customer/user feedback."
CRL,3,Customer Readiness Level 3,"Primary market research (direct contact with a few potential users/customers or industry/market experts) has provided feedback. There is now a better understanding of possible customers and segments, and the problem/need hypothesis is clearly stated and has been refined using this feedback."
CRL,2,Customer Readiness Level 2,"Some market research has been conducted, mainly from secondary sources, giving brief familiarity with the market, potential customers, their problems/needs and existing alternatives. A first reasonably clear description of the problem/need hypothesis has been formulated."
CRL,1,Customer Readiness Level 1,"You are mainly thinking yourself that a potential need/problem or opportunity might exist in a market, without external validation. There are no clear hypotheses about customers or problems (or they are vague and speculative with no supporting proof or analysis), and knowledge of the market and customers/users is very limited or non-existent."
TRL,9,Technology Readiness Level 9,"The complete technology is scalable and has been proven to work in actual operations by several users over time. Continuous development, improvement and optimisation of both the technology and its production are ongoing."
TRL,8,Technology Readiness Level 8,"A complete technology has been proven to work in actual operations by first users: it includes everything the user needs, functions correctly, is compatible with people, processes, goals, infrastructure and systems, and is producible at reasonable cost. It meets all performance requirements/specifications and is implemented independently by end-users in their day-to-day operations."
TRL,7,Technology Readiness Level 7,"A prototype close to or at the final technology has been shown to work in an operational environment, i.e. one that addresses all operational requirements and specifications where end-users will actually use it. Complete end-user requirements/specifications and/or use cases are in place."
TRL,6,Technology Readiness Level 6,"A representative model or prototype of the technology has been shown to work in a relevant environment, using a functional form (often scaled or near/at operational spec) that allows evaluation of technical and/or manufacturing feasibility and utility of the final product. This demonstration meets most important performance requirements."
TRL,5,Technology Readiness Level 5,"Basic components are integrated and tested in a more realistic form in a relevant environment, such as a lab or controlled setting that simulates the most important and most stressing aspects of the real operational environment. Test results validate that the technology will work and more detailed end-user requirements/specifications and/or use cases are defined based on user feedback."
TRL,4,Technology Readiness Level 4,Basic components are integrated and shown to work together to produce the desired results in a laboratory environment. Test results give initial validation that the technology concept will work.
TRL,3,Technology Readiness Level 3,"In a laboratory environment (the analytical/experimental setting where the technology is typically developed, often different from the final use environment), tests of important parameters, features and functions show that the technology concept could work and be feasible. Active R&D is underway to develop the technology further, and a first idea of end-user requirements/specifications and/or use cases exists."
TRL,2,Technology Readiness Level 2,"A potential technology concept is defined and described. Practical applications can be outlined or researched but remain speculative, with no proof or detailed analysis yet that the technology will work."
TRL,1,Technology Readiness Level 1,Research results indicate potential benefits or useful applications. There is only a vague idea of the technology to be developed.
BRL,9,Business Readiness Level 9,"The business model is fully operational and proven, with the business meeting or exceeding expectations on profit, growth and scalability, while actively pursuing additional target markets with an internationalization strategy. Competitor monitoring is expanded to cover new markets and future scenarios, and operations, growth and sustainability are balanced and validated through sustainability metrics."
BRL,8,Business Readiness Level 8,"Sales and other metrics show the business model is viable in terms of profit and growth, and future additional target markets (including international ones) are clearly described. Continuous competitor monitoring is implemented, and sustainability is integrated into the business as a driver of business value and positive impact."
BRL,7,Business Readiness Level 7,"The business model is validated by first commercial sales to several customers, and target markets plus sales estimates are confirmed by market feedback. Market differentiators/USPs are validated and used in marketing and communication, and sustainability metrics (including how to monitor and report them) are defined."
BRL,6,Business Readiness Level 6,"Target customers have validated the business model in realistic business scenarios such as pilots, test sales or pre-orders, and the first target market (including geographic focus) is chosen based on market input. Key market differentiators/USPs are defined and included in pitches/presentations, while key sustainability metrics (e.g. carbon footprint, social impact, circularity) are proposed."
BRL,5,Business Readiness Level 5,"Key assumptions of the business model, especially willingness to pay and pricing, are validated by market feedback, and target market descriptions are refined based on this feedback, including the venture’s own position in the value chain. The company updates its positioning in the competitive landscape and considers how sustainability can be integrated to achieve a positive impact."
BRL,4,Business Readiness Level 4,"Initial calculations of main costs and revenues (including pricing) indicate possible economic viability, and potential target markets are well defined with TAM, SAM, SOM, value chain and geographic scope. The business has suggested its own position in the competitive landscape and carried out an SDG assessment outlining both positive and negative impacts."
BRL,3,Business Readiness Level 3,"A draft business model is documented (e.g. in a canvas), with a first description of possible target markets and estimates of their size (TAM, SAM). The competitive landscape is described (e.g. via matrix or positioning map), and there is an initial description of which SDG(s) the business could address."
BRL,2,Business Readiness Level 2,"The business concept is described in a structured way (e.g. value proposition such as NABC), with an initial overview of markets and their potential size. Some competitors and/or alternative solutions are listed, and there is some early insight into why and how sustainability aspects relate to the business."
BRL,1,Business Readiness Level 1,"There is only a vague or unspecified description of the business idea, value proposition and business model, with little understanding of the market, its size or potential. Knowledge of competitors or alternatives is minimal, and there is little to no awareness of how sustainability aspects could affect the business idea."
IPRL,9,Intellectual Property Readiness Level 9,"The IPR strategy is proven to support and create business value, with key and complementary IPR granted and maintained in several relevant countries. All needed external IPR is secured through agreements."
IPRL,8,Intellectual Property Readiness Level 8,"The IPR strategy is fully implemented: IPR is actively used to support/protect the business, agreements are professionally managed, and there is a clear process for securing new IPR. Key IPR is granted in the first relevant country/region and complementary or additional IPR applications/registrations have been filed."
IPRL,7,Intellectual Property Readiness Level 7,"Key IPR has entered the national/regional phase (e.g. US, EU, JP) with active applications/registrations. A more complete freedom-to-operate assessment has been done, with clear understanding of dependencies on or restrictions by other IPR."
IPRL,6,Intellectual Property Readiness Level 6,"A complete IPR strategy, validated by a professional, is in place and aligned with the business strategy, including identified complementary/additional IPR to protect. An initial freedom-to-operate analysis maps the IPR landscape (who is active, key rights, dependence/ blocking risks), and authority responses to applications are analysed with a professional to confirm good prospects or adapt if needed."
IPRL,5,Intellectual Property Readiness Level 5,"A draft IPR strategy exists, including a first professional analysis and plan for how different IPR can protect and add value to the business. The first full application/registration for key IPR is filed with professional support, and basic agreements (assignments, ownership, etc.) ensure control over this key IPR."
IPRL,4,Intellectual Property Readiness Level 4,"Professional searches/analysis confirm that protection of key IPR is possible, and the key IPR plus priorities for what to protect to create business value are analysed (ideally with a professional). A first IPR application/registration may be filed in a simpler form, such as self-filed trademark or provisional patent."
